Neuron	Neurotransmitter: Glutamate	Neurotransmitter: Serotonin	Neurotransmitter: Dopamine	Neurotransmitter: GABA	Neurotransmitter: acetylcholine	Neurotransmitter: aminergic	Neurotransmitter: other	Neurotransmitter: Unknown	Modality: Sensory	Modality: Motor	Modality: Interneuron	Modality: Unknown	Present in Hermaphordites and Males	Sexually Dimorphic	Hermaphrodite exclusive	Male exclusive	Ciliated	Mechanosensation	Gentle Touch	Harsh Touch	Nociception	Proprioception	Chemosensation	Thermosensation	Photosensation	Electrosensation	Texture	Oxygen-sensory	CO2-sensory	Odorsensation	Pheromone-sensory	Magnetic Field	Humidity	Osmosensation	Daeur Entry
ADA	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADE	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ADF	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ADL	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0
AFD	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0
AIA	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AIB	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AIM	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AIN	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AIY	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
