WormBase Gene ID	Public Name	Biotype	Expr_pattern Tissue	Genomic Study Tissue	Putative match?
WBGene00003925	pas-4	protein_coding_gene	"anal depressor muscle, body wall musculature, pharynx, tail"	"cephalic sheath cell, germ line, germline precursor cell, muscle cell"	Yes?
WBGene00003926	pas-5	protein_coding_gene	"body wall musculature, distal tip cell, germ line, gonadal sheath cell, hypodermis, somatic gonad, spermatheca, uterus, vulva"	"germ line, germline precursor cell, intestine, muscle cell, somatic gonad precursor"	Yes?
WBGene00004150	pqn-67	protein_coding_gene	"pharynx, tail"	pharynx	"Yes, but worried about head neurons"
WBGene00004502	rpt-2	protein_coding_gene	"body wall musculature, gonad, head, intestine, pharynx, reproductive system, uterus, vulva"	"body wall musculature, germ line, intestine, muscle cell, pharynx"	"Yes, but worried about head neurons"
WBGene00004981	spl-1	protein_coding_gene	"head, intestine"	"germline precursor cell, intestine"	"Yes, but worried about head neurons"
WBGene00006579	tlk-1	protein_coding_gene	"germ line, head, hypodermis, intestine, pharynx, posterior lateral ganglion, somatic cell, somatic gonad"	germ line	"Yes, but worried about head neurons"
WBGene00007287	gck-4	protein_coding_gene	"excretory cell, head, intestine, pharynx, tail"	"intestine, somatic gonad precursor"	"Yes, but worried about head neurons"
WBGene00007811	C29F7.2	protein_coding_gene	"intestine, pharynx"	"head mesodermal cell, hypodermis, intestine, pharyngeal muscle cell"	"Yes, but worried about head neurons"
WBGene00008093	lron-1	protein_coding_gene	pharynx	"hermaphrodite-specific anatomical entity, pharynx"	"Yes, but worried about head neurons"
WBGene00009212	atz-1	protein_coding_gene	"hypodermis, pharynx"	"germ line, hypodermis, intestine, pharyngeal muscle cell, pharynx"	"Yes, but worried about head neurons"
WBGene00009586	F40F9.10	protein_coding_gene	"anal depressor muscle, body wall musculature, pharynx"	"muscle cell, pharynx"	"Yes, but worried about head neurons"
WBGene00011081	R07B1.9	protein_coding_gene	pharynx	pharynx	"Yes, but worried about head neurons"
WBGene00011543	acl-2	protein_coding_gene	"body region, body wall musculature, intestine, pharynx"	"EMS, intestine, Psub1"	"Yes, but worried about head neurons"
WBGene00013976	hizr-1	protein_coding_gene	"head, intestine"	intestine	"Yes, but worried about head neurons"
WBGene00016499	txt-5	protein_coding_gene	pharynx	head mesodermal cell	"Yes, but worried about head neurons"
WBGene00017546	rpa-1	protein_coding_gene	"germ line, pharynx"	germ line	"Yes, but worried about head neurons"
WBGene00018352	fbxc-20	protein_coding_gene	Pharyngeal gland cell	"male, pharynx"	"Yes, but worried about head neurons"
WBGene00018362	ppm-1.G	protein_coding_gene	"gonad, head, intestine"	"germ line, somatic gonad precursor"	"Yes, but worried about head neurons"
WBGene00018742	F53B3.3	protein_coding_gene	pharynx	pharynx	"Yes, but worried about head neurons"
WBGene00019322	ahcy-1	protein_coding_gene	"head, intestine, pharynx"	"intestine, somatic gonad precursor"	"Yes, but worried about head neurons"
WBGene00019351	lron-7	protein_coding_gene	"head, intestine"	"coelomocyte, head mesodermal cell, intestine"	"Yes, but worried about head neurons"
WBGene00019477	cest-17	protein_coding_gene	"gonad, intestine, pharynx, somatic gonad"	"intestine, pharynx, somatic gonad precursor"	"Yes, but worried about head neurons"
WBGene00019751	M03D4.4	protein_coding_gene	pharyngeal muscle cell	"germ line, head mesodermal cell, pharynx"	"Yes, but worried about head neurons"
WBGene00019760	calu-1	protein_coding_gene	"body wall musculature, hypodermis, intestine, pharynx, rectal epithelium, reproductive system, tail, vulva"	"body wall musculature, hypodermis, intestine, male-specific anatomical entity, muscle cell, pharynx"	"Yes, but worried about head neurons"
WBGene00020022	gldc-1	protein_coding_gene	"head, hypodermis, intestine"	"germ line, intestine, pharyngeal muscle cell"	"Yes, but worried about head neurons"
WBGene00020244	T05B4.13	protein_coding_gene	"g1AL, g1AR, g1P, g2L, g2R"	"pharyngeal muscle cell, pharynx"	"Yes, but worried about head neurons"
WBGene00021088	W08E12.7	protein_coding_gene	"gonad, intestine, pharynx"	"germ line, germline precursor cell, intestine, muscle cell, somatic gonad precursor"	"Yes, but worried about head neurons"
WBGene00001874	him-17	protein_coding_gene	"anal depressor muscle, body wall musculature, excretory cell, germ line, head, intestine, pharynx, tail"	"germ line, germline precursor cell"	"Yes, but widely expressed makes me nervous"
WBGene00002992	lin-3	protein_coding_gene	"anchor cell, Cell, excretory canal, F cell, germ line, hypodermal cell, intestinal cell, K cell, pharynx, proctodeum, spermatheca, spermathecal-uterine junction, spermathecal-uterine valve cell, tail, U cell, ventral uterine precursor, vulF"	"germ line, germline precursor cell, head mesodermal cell, hermaphrodite-specific anatomical entity, intestine, pharyngeal muscle cell"	"Yes, but widely expressed makes me nervous"
WBGene00004461	rpn-5	protein_coding_gene	"anal depressor muscle, body wall musculature, excretory cell, hypodermis, intestine, pharynx, rectal epithelium, rectal gland cell, reproductive system, uterine muscle, vulva"	"body wall musculature, germ line, germline precursor cell, intestine, muscle cell, pharynx, somatic gonad precursor"	"Yes, but widely expressed makes me nervous"
WBGene00001223	ehn-3	protein_coding_gene	"somatic gonad precursor, Z1, Z4"	somatic gonad precursor	"Yes, but maybe not useful"
WBGene00001414	fer-1	protein_coding_gene	"male, spermatid, spermatocyte"	"germ line, male"	"Yes, but maybe not useful"
WBGene00001688	gpr-1	protein_coding_gene	P lineage cell	"germ line, gon_male_dtc anterior, gon_male_dtc posterior, Z1.p, Z4.a"	"Yes, but maybe not useful"
WBGene00003783	nos-1	protein_coding_gene	"Z2, Z3"	"germ line, germline precursor cell, head mesodermal cell"	"Yes, but maybe not useful"
WBGene00008202	clec-197	protein_coding_gene	male gonad	"amphid sheath cell, germ line, male, male-specific anatomical entity"	"Yes, but maybe not useful"
WBGene00016374	swd-2.2	protein_coding_gene	linker cell	"germ line, somatic gonad precursor"	"Yes, but maybe not useful"
WBGene00018048	clec-137	protein_coding_gene	vas deferens	"male, male-specific anatomical entity"	"Yes, but maybe not useful"
WBGene00018096	clec-207	protein_coding_gene	vas deferens	"germ line, male"	"Yes, but maybe not useful"
